category,cluster_id,size,top_terms,suggested_name
Clothing_Shoes_and_Jewelry,3,240,"small, size, way, fit, large, sizes, ordered, way small, sizing, runs",
Clothing_Shoes_and_Jewelry,4,203,"material, cheap, fabric, like, small, looks, quality, shirt, cheaply, cheap fabric",
Clothing_Shoes_and_Jewelry,5,162,"broke, apart, fell, time, fell apart, wore, cheaply, wearing, times, disappointed",
Clothing_Shoes_and_Jewelry,6,186,"small, watch, necklace, earrings, bag, use, just, big, large, cards",
Clothing_Shoes_and_Jewelry,7,222,"shoes, feet, shoe, socks, comfortable, foot, uncomfortable, wear, wide, tight",
Clothing_Shoes_and_Jewelry,8,244,"bra, fit, like, tight, just, shirt, wear, short, size, big",
Clothing_Shoes_and_Jewelry,9,200,"fabric, like, fit, material, just, pants, dress, shirt, wear, size",
CDs_and_Vinyl,0,318,"cd, album, like, music, just, money, songs, don, song, buy",
CDs_and_Vinyl,1,193,"music, cd, great, like, album, songs, love, song, just, better",
CDs_and_Vinyl,2,186,"cd, songs, disc, buy, disappointed, song, original, dvd, amazon, movie",
CDs_and_Vinyl,3,112,"record, vinyl, pressing, album, records, warped, quality, skipped, great, music",
CDs_and_Vinyl,4,146,"expected, like, thought, gift, didn, did, disappointing, disappointed, know, bit",
CDs_and_Vinyl,5,219,"sound, recording, quality, like, music, cd, sounds, poor, voice, good",
CDs_and_Vinyl,6,106,"case, cracked, cd, item, arrived, came, broken, damaged, scratched, box",
CDs_and_Vinyl,7,296,"songs, cd, music, song, like, disappointed, didn, good, just, did",
CDs_and_Vinyl,8,308,"album, like, just, songs, music, good, albums, band, time, cd",
CDs_and_Vinyl,9,116,"cd, play, skips, player, cd skips, work, disc, played, cd player, won play",
